tax_id	taxonomy	type	name	kingdom
1538065.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Basidiomycota|Ustilaginomycotina|Moniliellomycetes	class	Moniliellomycetes	Fungi
29197.0	root|cellular_organisms|Eukaryota|Rhizaria|Cercozoa|Chlorarachniophyceae	class	Chlorarachniophyceae	Eukaryota
2202807.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Fungi_incertae_sedis|Olpidiomycota|Olpidiomycotina|Olpidiomycetes	class	Olpidiomycetes	Fungi
32061.0	root|cellular_organisms|Bacteria|Terrabacteria_group|Chloroflexi|Chloroflexia	class	Chloroflexia	Bacteria
2497573.0	root|Viruses|Riboviria|Negarnaviricota|Haploviricotina|Milneviricetes	class	Milneviricetes	Viruses
187857.0	root|cellular_organisms|Bacteria|Aquificae|Aquificae	class	Aquificae	Bacteria
1538075.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Basidiomycota|Ustilaginomycotina|Malasseziomycetes	class	Malasseziomycetes	Fungi
2233521.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Fungi_incertae_sedis|Zoopagomycota|Zoopagomycotina|Zoopagomycetes	class	Zoopagomycetes	Fungi
2219692.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Fungi_incertae_sedis|Zoopagomycota|Kickxellomycotina|Dimargaritomycetes	class	Dimargaritomycetes	Fungi
451454.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Fungi_incertae_sedis|Chytridiomycota|Monoblepharidomycetes	class	Monoblepharidomycetes	Fungi
183980.0	root|cellular_organisms|Archaea|Euryarchaeota|Archaeoglobi	class	Archaeoglobi	Archaea
147539.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Ascomycota|saccharomyceta|Pezizomycotina|leotiomyceta|dothideomyceta|Arthoniomycetes	class	Arthoniomycetes	Fungi
2864.0	root|cellular_organisms|Eukaryota|Alveolata|Dinophyceae	class	Dinophyceae	Eukaryota
2833.0	root|cellular_organisms|Eukaryota|Stramenopiles|PX_clade|Xanthophyceae	class	Xanthophyceae	Eukaryota
204429.0	root|cellular_organisms|Bacteria|PVC_group|Chlamydiae|Chlamydiia	class	Chlamydiia	Bacteria
118001.0	root|cellular_organisms|Bacteria|Chrysiogenetes|Chrysiogenetes	class	Chrysiogenetes	Bacteria
1807140.0	root|cellular_organisms|Bacteria|Proteobacteria|Acidithiobacillia	class	Acidithiobacillia	Bacteria
446134.0	root|cellular_organisms|Eukaryota|Rhodophyta|Stylonematophyceae	class	Stylonematophyceae	Eukaryota
431957.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Basidiomycota|Wallemiomycotina|Wallemiomycetes	class	Wallemiomycetes	Fungi
768503.0	root|cellular_organisms|Bacteria|FCB_group|Bacteroidetes/Chlorobi_group|Bacteroidetes|Cytophagia	class	Cytophagia	Bacteria
67799.0	root|cellular_organisms|Bacteria|Thermodesulfobacteria|Thermodesulfobacteria	class	Thermodesulfobacteria	Bacteria
1293512.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Ascomycota|saccharomyceta|Pezizomycotina|leotiomyceta|Coniocybomycetes	class	Coniocybomycetes	Fungi
117747.0	root|cellular_organisms|Bacteria|FCB_group|Bacteroidetes/Chlorobi_group|Bacteroidetes|Sphingobacteriia	class	Sphingobacteriia	Bacteria
191410.0	root|cellular_organisms|Bacteria|FCB_group|Bacteroidetes/Chlorobi_group|Chlorobi|Chlorobia	class	Chlorobia	Bacteria
204432.0	root|cellular_organisms|Bacteria|Acidobacteria|Acidobacteriia	class	Acidobacteriia	Bacteria
203683.0	root|cellular_organisms|Bacteria|PVC_group|Planctomycetes|Planctomycetia	class	Planctomycetia	Bacteria
292625.0	root|cellular_organisms|Bacteria|Terrabacteria_group|Chloroflexi|Anaerolineae	class	Anaerolineae	Bacteria
203494.0	root|cellular_organisms|Bacteria|PVC_group|Verrucomicrobia|Verrucomicrobiae	class	Verrucomicrobiae	Bacteria
301297.0	root|cellular_organisms|Bacteria|Terrabacteria_group|Chloroflexi|Dehalococcoidia	class	Dehalococcoidia	Bacteria
183939.0	root|cellular_organisms|Archaea|Euryarchaeota|Methanomada_group|Methanococci	class	Methanococci	Archaea
2517206.0	root|cellular_organisms|Bacteria|PVC_group|Planctomycetes|Candidatus_Brocadiae	class	Candidatus Brocadiae	Bacteria
307596.0	root|cellular_organisms|Bacteria|Terrabacteria_group|Cyanobacteria/Melainabacteria_group|Cyanobacteria|Gloeobacteria	class	Gloeobacteria	Bacteria
1553900.0	root|cellular_organisms|Bacteria|Proteobacteria|Oligoflexia	class	Oligoflexia	Bacteria
663566.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Ascomycota|saccharomyceta|Pezizomycotina|leotiomyceta|Geoglossomycetes	class	Geoglossomycetes	Fungi
2202803.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Fungi_incertae_sedis|Blastocladiomycota|Physodermatomycetes	class	Physodermatomycetes	Fungi
